C i n c i n n a t i   R e d s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Michael/John,,,,MLB,,,22,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,37,,Years Paid,,,,Payroll,,"183,225,000","176,550,000","131,550,000","107,550,000","45,000,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,220-276,,,,Minors,,,115,,Status,,,,Dead Money,,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,2,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"183,225,000","176,550,000","131,550,000","107,550,000","45,000,000",0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,2,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"53,775,000","64,450,000","112,450,000","136,450,000","199,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Logan O'Hoppe,LAA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (24),,,C,Dillon Dingler,DET,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,23,,,,,,,,,Inaugural Draft,,,C,Sam Huff,TEX,ARB 1 (S2),ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-MIA (24),,,1B,Matt Olson,ATL,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000",UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (22) Rd 1,,,2B,Jacob Berry,MIA,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
