M i n n e s o t a   T w i n s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Erik,,,,MLB,,,18,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,39,,Years Paid,,,,Payroll,,"144,216,111","125,736,111","77,986,111","77,486,111","42,486,111","53,173,611","21,111,111","21,111,111","20,000,000",0,0,0,0,0
,,,,Franchise Record,,,84-402,,,,Minors,,,60,,Status,,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,3,,Future Status,,,,Total Payroll,,"144,216,111","125,736,111","77,986,111","77,486,111","42,486,111","53,173,611","21,111,111","21,111,111","20,000,000",0,0,0,0,0
,,,,AL East Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"92,783,889","115,263,889","166,013,889","166,513,889","201,513,889","190,826,389","222,888,889","222,888,889","224,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2025,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SD (22),,,C,Austin Wells,NYY,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (22) Rd 2,,,C,Daniel Susac,ATH,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-COL (26),,,1B,Freddie Freeman,LAD,"27,000,000","27,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-ATH (23),,,2B,Edouard Julien,MIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Connor Norby,BAL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Otto Lopez,TOR,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Jahmai Jones,BAL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Matt McLain,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-SD (24),,,SS,Colson Montgomery ,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,,,,,,,,,,,Inaugural Draft,,,SS,Carlos Jorge,CIN,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Arol Vera,LAA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Trade-ATH (23),,,3B,Nolan Jones,COL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-TOR (22),,,3B,Rece Hinds,CIN,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
