A r i z o n a   D i a m o n d b a c k s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Bradley,,,,MLB,,,22,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,35,,Years Paid,,,,Payroll,,"94,542,500","61,262,500","38,850,000","1,350,000",0,0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,213-273,,,,Minors,,,106,,Status,,,,Dead Money,,"1,250,000",0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"95,792,500","61,262,500","38,850,000","1,350,000",0,0,0,0,0,0,0,0,0,0
,,,,NL West Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"145,207,500","182,737,500","205,150,000","242,650,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,98.70%,100.00%,100.00%,100.00%,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,1.30%,0.00%,0.00%,0.00%,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Inaugural Draft,,,C,MJ Melendez,KC,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,C,Rafael Marchan,PHI,"1,000,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-COL (24),,,2B,Thomas Saggese,STL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (25),,,SS,Cam Devanney,KC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,SS,Wenceel Perez,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Rule V-HOU (25),,,SS,Maximo Acosta,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-KC (24),,,SS,Jordan Lawlar,ARZ,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,3B,Jonah Bride,MIA,"1,350,000","1,350,000","1,350,000","1,350,000",UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SD (24),,,3B,Nacho Alvarez,ATL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SD (24),,,OF,Zach Dezenzo,HOU,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,23,24,,,,,,,,Trade-NYM (25),,,OF,Kyle Stowers,MIA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,OF,Joey Gallo,MIN,"15,412,500","15,412,500",UFA,,,,,,,,,,,
X,,X,,,,0,22,23,,,,,,,,MiLB FA (22),,,OF,Jerar Encarnacion,SF,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (24) Rd 1,,,OF,Jacob Melton,HOU,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
