S a n   F r a n c i s c o   G i a n t s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Sean,,,,MLB,,,26,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,38,,Years Paid,,2024,,Payroll,,"180,770,357","160,070,357","130,082,858","81,040,000","61,000,000","23,000,000",0,0,0,0,0,0,0,0
,,,,Franchise Record,,,302-184,,,,Minors,,,98,,Status,,First,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,2,,,,Rotation,,,8,,Future Status,,Repeats,,Total Payroll,,"180,770,357","160,070,357","130,082,858","81,040,000","61,000,000","23,000,000",0,0,0,0,0,0,0,0
,,,,NL West Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"56,229,643","80,929,643","113,917,142","162,960,000","183,000,000","221,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-DET (23),,,C,Jonah Heim,TEX,ARB 3,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Rule V-HOU (25),,,C,Pedro Pages,STL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Carter Jensen,KC,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-BAL (23),,,C,Anthony Seigler,NYY,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,1B,Christian Walker,ARZ,"16,350,000","16,350,000",UFA,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-CHC (25),,,1B,Ivan Melendez,ARZ,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-SEA (25),,,1B,Abimelec Ortiz,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,2B,Andruw Monasterio,MIL,"3,700,000","3,700,000",UFA,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Trade-SEA (25),,,2B,Luis García,WSH,ARB 3,UFA,,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,2B,Kyle Farmer,COL,"2,500,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-PIT (26),,,SS,Ezequiel Tovar ,COL,"5,000,000","8,000,000","11,000,000","14,000,000","16,000,000","23,000,000",UFA,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-CHC  (25),,,SS,Edwin Arroyo,CIN,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (22),,,SS,Pedro Ramirez,CHC,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-PHI (25),,,SS,Ryan Ritter,COL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-SEA (24),,,3B,Izaac Pacheco,DET,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade CHC (25),,,3B,Addison Barger,TOR,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,22,25,,,,,,,,Trade-SEA (25),,,OF,Bryan De La Cruz,ATL,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Trade-ATH (23),,,OF,TJ Friedl,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,OF,Byron Buxton,MIN,"15,142,857","15,142,857","15,142,858",UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,FYPD (22) Rd 1,,,OF,Dylan Beavers,BAL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,OF,Hendry Mendez,MIL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,OF,Lourdes Gurriel Jr,ARZ,"8,100,000","8,100,000","8,100,000",UFA,,,,,,,,,,
