H o u s t o n   A s t r o s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Will,,,,MLB,,,27,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,,,Payroll,,"201,398,462","104,158,462","66,688,462","28,538,462","33,538,462","50,307,693","15,000,000",0,0,0,0,0,0,0
,,,,Franchise Record,,,299-187,,,,Minors,,,109,,Status,,,,Dead Money,,"3,712,500",0,0.00,0.00,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,7,,Future Status,,,,Total Payroll,,"205,110,962","104,158,462","66,688,462","28,538,462","33,538,462","50,307,693","15,000,000",0,0,0,0,0,0,0
,,,,AL West Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"31,889,038","136,841,538","177,311,538","215,461,538","210,461,538","193,692,307","229,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,98.19%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,1.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Francisco Alvarez,NYM,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Patrick Bailey,SF,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Rule V-SF (25),,,C,Ricardo Olivar,MIN,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
