E L   P A S O   C H I H U A H U A S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Denny,,,,MLB,,,18,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,18,,Years Paid,,,Payroll,,"28,766,667","21,166,667","21,166,667","25,750,000","9,166,667",0,0,0,0,0,0,0,0
,,,,Franchise Record,,,67-48,,,,Minors,,,100,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,5,,Future Status,,,Total Payroll,,"28,766,667","21,166,667","21,166,667","25,750,000","9,166,667",0,0,0,0,0,0,0,0
,,,,AL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"212,233,333","222,833,333","222,833,333","218,250,000","234,833,333","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Shea Langeliers,OAK,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Moises Ballesteros,CHC,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Vinnie Pasquantino,KC,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Maikel Garcia,KC,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Elly De La Cruz,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Sal Frelick,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Brent Rooker,OAK,"12,000,000","12,000,000","12,000,000","12,000,000",UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Luke Raley,SEA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Emmet Sheehan,LAD,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Randy Vasquez,SD,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Bailey Ober,MIN,ARB2,ARB3,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Brayan Bello,BOS,"9,166,667","9,166,667","9,166,667","13,750,000","9,166,667",,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Drew Thorpe,CHW,"760,000",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,P,Keaton Winn,SF,ARB1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Tyler Ferguson,OAK,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Sam Moll,CIN,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Bryan King,HOU,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Greg Weissert,BOS,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Rule 5 Eligibility,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Blake Mitchell,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Christian Cerda,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Alfredo Duno,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Caleb Lomavita,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Will Bush,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Taitn Gray,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Gerardo Rodriguez,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Ethan Salas,SD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Troy Johnston,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Chris Meyers,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Carter Trice,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Randy Guzman,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Keaton Anthony,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,PJ Morlando,MIA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Payton Eeles,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Charles McAdoo,PIT/TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,J.R. Freethy,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Connor Kaiser,ARZ,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Jared Serna,NYY/MIA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Mike Boeve,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Rubel Cespedes,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Ryan Galanie,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jhonayker Ugarte,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Cody Freeman,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Oswaldo Osorio,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Deniel Ortiz,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,DJ Gladney,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Waner Luciano,HOU,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Luis Suisbel,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Roderick Arias,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Welbyn Francisca,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Yohandy Morales,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Ryan Fitzgerald,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Drew Faurot,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Josuar De Jesus Gonzalez,SFG,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jhonny Severino,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Ryan Spikes,TB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jace Bohrofen,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Elijah Dunham,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Matthew Etzel,BAL/TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Christopher Familia,NYY,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,OF,Rio Foster,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Brendan Jones,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Max Belyeu,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Spencer Jones,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Alfonsin Rosario,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kasen Wells,SDP,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Mike Siani,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Alessander De La Cruz,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Lisbel Diaz,SF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jose Bello,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,A.J. Blubaugh,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Doug Nikhazy,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Lucas Braun,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Gage Wood,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Tanner Franklin,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,McCade Brown,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Gabe Craig,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,K.C. Hunt,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Keywill Cedeno,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Derek Clark,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Alex Clemmey,CLE/WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Aidan Curry,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Duncan Davitt,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brandyn Garcia,SEA,,,,,,,,,,,,,
