SYRACUSE METS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Matt,,,,MLB,,,23,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,25,,Years Paid,2024,,Payroll,,"111,759,962","71,214,962","59,548,295","46,298,295","46,298,295","46,298,295","32,954,545","32,954,545","7,500,000",0,0,0,0
,,,,Franchise Record,,,58-57,,,,Minors,,,88,,Status,First,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,5,,Future Status,Repeats,,Total Payroll,,"111,759,962","71,214,962","59,548,295","46,298,295","46,298,295","46,298,295","32,954,545","32,954,545","7,500,000",0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,1,,Extensions,2,,Luxury Tax Space,,"129,240,038","172,785,038","184,451,705","197,701,705","197,701,705","197,701,705","211,045,455","211,045,455","236,500,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,1,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Endy Rodriguez,PIT,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Jonah Heim,TEX,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Korey Lee,CHW,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,X,60,3/27,5/26,,,,,,,,,,,,1B,Tyler Locklear,SEA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Christian Encarnacion-Strand,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,2B,Justin Foscue,TEX,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
